id,screen_name,text,polarity,criterioPropio,
8.80E+17,@MelizaPonqueta,Eres dueño de tu propio destino 😀😀,0,1,1
8.80E+17,@zkarina,RT @CaraotaDigital: #Consecomercio: El gobierno se dedica a imprimir billetes para cubrir los errores cometidos https://t.co/CNk5mOBkV9 htt…,0,0,0
8.80E+17,@NAYARIT_Riveris,RT @SonyMusicEC: ¡Bienvenido @_CarlosRivera a Ecuador! #GiraDeMedios 🎶📻📺 #CarlosRiveraEnEcuador https://t.co/GvfryVWtQF,1,1,0
8.80E+17,@mariaeu93993718,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@bebesitaper04,"RT @elcitizen: Quién iba a pensar q un supuesto gobierno de izquierda iba a terminar como gorilas, reprimiendo y con las alforjas repletas…",0,0,0
8.80E+17,@Markisu,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@dionisioterius,RT @Ramocabr: Si la @AsambleaVE con los art. 333 y 350 llaman a un Gobierno de transición usted #TransicionYaOPerdemosElPais,0,0,0
8.80E+17,@leomorante13,"RT @ObservadBinario: ¡Ay, Dios, cómo odio no equivocarme en esto!... No se duerman... Esto parece desencdenarse... https://t.co/9Hu8PzGyVT",0,0,0
8.80E+17,@E_BetancourtC,"Lo defienden, y hasta recomiendan que es buen dato si lo tratas. https://t.co/7eLG26f7Vl",1,0,1
8.80E+17,@RobieCur,"RT @guruchuirer: El relato de este sexenio podría ser un capítulo completo de ""La historia de la estupidez"". https://t.co/6yOdyKtiLU",1,1,0
8.80E+17,@slytherinjoshua,"puta la huea ctm, en medio del gobierno liberal me dio por escuchar long way home JKASJKASJ CONCENTRATE CULIA",1,1,0
8.80E+17,@marininaam,"RT @elcitizen: Quién iba a pensar q un supuesto gobierno de izquierda iba a terminar como gorilas, reprimiendo y con las alforjas repletas…",0,0,0
8.80E+17,@carlitosfc,"RT @Haciendapy: Este Gobierno está haciendo frente a la deuda real que tiene el país, que es la falta de #infraestructura👉 @lea_g_d… ",0,0,0
8.80E+17,@gchowlee19,@clausantander Y pastas sindoni. Esos si son los del gobierno. Aparentemente ahi si no hay tanquetas ni nada,0,0,0
8.80E+17,@Jd72Neo,RT @NoticiasVenezue: Rodríguez Torres presentará pruebas que demuestran vínculos del Gobierno con narcotráfico https://t.co/rqMKPyCHZF http…,1,1,0
8.80E+17,@gorecoquimbo,"RT @SegegobCoquimbo: Amigos, @JUNJI_Coquimbo informa que este martes 27/06, sus jardines infantiles desarrollarán sus actividades normal… ",1,1,0
8.80E+17,@DuyliaGonzalez,"RT @elcitizen: Cual es el gobierno de América Latina q asesina, reprime y encarcela a estudiantes. Censura y persigue a periodistas? Maduro…",0,0,0
8.80E+17,@nelabrador,"RT @PabloHernandezB: Terror y represión, lo único que hoy puede ofrecer la dictadura de Nicolás Maduro ¡Fuerza a nuestro pueblo de La Ur… ",1,1,0
8.80E+17,@leidalugo,"RT @ObservadBinario: ¡Ay, Dios, cómo odio no equivocarme en esto!... No se duerman... Esto parece desencdenarse... https://t.co/9Hu8PzGyVT",0,0,0
8.80E+17,@jorgegarban1,RT @Miguel_Pizarro: Rechazamos los actos vandálicos y la violencia. Estas acciones forman parte de las provocaciones del Gobierno y solo lo…,0,0,0
8.80E+17,@prensapasso,RT @SergioMassa: Frente a la falta de respuesta del Gobierno en materia de seguridad comenzamos a tejer esta red de vecinos en La Ma… ,1,-1,1
8.80E+17,@MaxiZoghbi,"RT @elcitizen: Quién iba a pensar q un supuesto gobierno de izquierda iba a terminar como gorilas, reprimiendo y con las alforjas repletas…",0,0,0
8.80E+17,@titamara10,RT @TimoFARC: 1. Gobierno Nal debe cumplir con la ley 1820 la cual otorga amnistía a todos los prisioneros políticos.,0,-1,1
8.80E+17,@REYnaYARIT,RT @SonyMusicEC: ¡Bienvenido @_CarlosRivera a Ecuador! #GiraDeMedios 🎶📻📺 #CarlosRiveraEnEcuador https://t.co/GvfryVWtQF,1,1,0
8.80E+17,@Tiz__,"RT @jenarovillamil: Un periodista asesinado más: #SalvadorAdame, después de Semanas desaparecido y de la indolencia del gobierno de Mic… ",0,0,0
8.80E+17,@teresavelasco18,@periodicovzlano Y el Gobierno en lugar de Ocuparse de Estás Emergencias gesta en Armas y en pendejadas Mientras él… https://t.co/mDb6Y6fBsx,0,0,0
8.80E+17,@smelissah,"No leí HP hasta el 2001, pero una vez encendida, la magia nunca se apagó #HarryPotter20",1,1,0
8.80E+17,@Vence_de_nuevo,RT @eloina_mogollon: Dictadura?En este país lo q hay es ibertinaje tremendo. En un gobierno d la IV República ese tipo le habrían dado p… ,0,0,0
8.80E+17,@SteffW10,@APolemil Ecuador ejejje,1,1,0
8.80E+17,@JanessyG,"RT @TrueDrResistenc: @jcsosazpurua MENSAJE a la AN: DESIGNEN nuevo TSJ, CNE, defensor, contralor, presidente y gobierno. Den el piso pol… ",0,0,0
8.80E+17,@MiryeSuarez,"RT @Dereckb: A punto de ser robado hace minutos, pero seguro fue una sensación mía; de eso sí que no se ocupa este gobierno sino de destrui…",0,0,0
8.80E+17,@egleeyayi,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@nicoallegro,"Hoy, en Gobierno ""Los hijos de puta"".

https://t.co/9LQYRu7VtO",0,0,0
8.80E+17,@melina_huiza,"Miedo al amor , miedo ala muerte , ala libertad",0,-1,1
